topic,cluster,centrality,frequency,pareto_score,Top20Percent
ensemble discuss,0,0.767985359629248,0.0,0.5375897517404735,True
queries explain,0,0.7676429752035308,0.0,0.5373500826424715,True
probability models,0,0.767605379635597,0.0,0.5373237657449179,True
data insights,0,0.7675657719105063,0.0,0.5372960403373545,True
neighbor classification,0,0.7675548639006552,0.0,0.5372884047304586,True
uml patterns,0,0.7674700355910358,0.0,0.537229024913725,True
perfect classifier,0,0.7673836187362925,0.0,0.5371685331154047,True
statistical methods,0,0.7673440110112018,0.0,0.5371408077078412,True
text categorization,0,0.7671230973359632,0.0,0.5369861681351742,True
domain allocation,0,0.7670952448447897,0.0,0.5369666713913528,True
architecture control,0,0.7670025797125589,0.0,0.5369018057987912,True
integers training,0,0.7669070551991048,0.0,0.5368349386393734,True
procedural analysis,0,0.7666931311224118,0.0,0.5366851917856882,True
cognitive knowledge,0,0.7666191049196353,0.0,0.5366333734437446,True
optimization compilation,0,0.7665228390851234,0.0,0.5365659873595864,True
virtual machines,0,0.7664782539186443,0.0,0.536534777743051,True
compiler design,0,0.7662936649752403,0.0,0.5364055654826682,True
randomized algorithms,0,0.7662715312465131,0.0,0.5363900718725592,True
attributes,0,0.7660016903814567,0.0,0.5362011832670197,True
questions,0,0.7659525513856222,0.0,0.5361667859699355,True
service infrastructure,0,0.7659404784426801,0.0,0.5361583349098761,True
inputs given,0,0.7658612629924988,0.0,0.5361028840947492,True
unified modeling,0,0.7658592508353417,0.0,0.5361014755847391,True
knowledge derivations,0,0.7657848010205321,0.0,0.5360493607143725,True
data dependence,0,0.7657375682788465,0.0,0.5360162977951926,True
following corpus,0,0.7655250209412608,0.0,0.5358675146588826,True
temporal mining,0,0.76540429151184,0.0,0.5357830040582879,True
sequence model,0,0.765069214393693,0.0,0.535548450075585,True
structural,0,0.7650565060327013,0.0,0.5355395542228908,True
virtual clusters,0,0.764950073509396,0.0,0.5354650514565772,True
activation trees,0,0.7649443547469498,0.0,0.5354610483228648,True
essential bioinformatics,0,0.7648414170229173,0.0,0.5353889919160421,True
distributed query,0,0.7647953492143225,0.0,0.5353567444500257,True
knowledge hypertext,0,0.7644853711091341,0.0,0.5351397597763938,True
implementation mits,0,0.7644047789198453,0.0,0.5350833452438917,True
accuracy classifier,0,0.7643645357767049,0.0,0.5350551750436934,True
decision procedures,0,0.7643550045059612,0.0,0.5350485031541727,True
advanced bioinformatics,0,0.7642977109784904,0.0,0.5350083976849432,True
multiclass classification,0,0.7642567265142922,0.0,0.5349797085600045,True
data normalization,0,0.7642463480194824,0.0,0.5349724436136377,True
compiler construction,0,0.7641896899100612,0.0,0.5349327829370428,True
warehousing analytics,0,0.7641684034054002,0.0,0.53491788238378,True
micro project,0,0.7639823318198805,0.0,0.5347876322739163,True
biology bioinformatics,0,0.763903857690757,0.0,0.5347327003835298,True
analysis cognitive,0,0.7638739930424265,0.0,0.5347117951296986,True
fuzzy clustering,0,0.7638009199667244,0.0,0.534660643976707,True
concept hierarchy,0,0.7635869958900313,0.0,0.5345108971230219,True
gram language,0,0.7635430461416018,0.0,0.5344801322991213,True
distributed database,0,0.7635211242188912,0.0,0.5344647869532237,True
customer data,0,0.7635200651888085,0.0,0.534464045632166,True
design patterns,0,0.7634967665269905,0.0,0.5344477365688933,True
fuzzy relations,0,0.7633716950742307,0.0,0.5343601865519615,True
compilers cognitive,0,0.7633612106764126,0.0,0.5343528474734888,True
cluster following,0,0.7632687573501983,0.0,0.5342881301451388,True
cloud architectural,0,0.7632167589731407,0.0,0.5342517312811984,True
sequential activity,0,0.7632090280535374,0.0,0.5342463196374762,True
server architectures,0,0.7631115972859346,0.0,0.5341781181001541,True
learning esl,0,0.7631001597610422,0.0,0.5341701118327294,True
collection cognitive,0,0.762897885015258,0.0,0.5340285195106805,True
spatial clustering,0,0.7628628311195227,0.0,0.5340039817836658,True
lazy learners,0,0.7628588068052087,0.0,0.534001164763646,True
using hmms,0,0.7628331782772089,0.0,0.5339832247940461,True
spatial data,0,0.7627975948664322,0.0,0.5339583164065025,True
evaluation metrics,0,0.7627866868565809,0.0,0.5339506807996066,True
code scheduling,0,0.7626468948856726,0.0,0.5338528264199708,True
constraint language,0,0.7626351396517553,0.0,0.5338445977562287,True
bayesian network,0,0.7625545474624664,0.0,0.5337881832237265,True
vectors clusters,0,0.7625180109246155,0.0,0.5337626076472308,True
interactive protocols,0,0.7624652712265,0.0,0.53372568985855,True
web servers,0,0.7623648751746658,0.0,0.533655412622266,True
complexity translation,0,0.7620835967847168,0.0,0.5334585177493018,True
cloud architecture,0,0.7619976035420066,0.0,0.5333983224794046,True
databases bioinformatics,0,0.7619548187266679,0.0,0.5333683731086675,True
propositional logic,0,0.7619474055160895,0.0,0.5333631838612626,True
practical knowledge,0,0.7618876762194287,0.0,0.5333213733536,True
architecture simd,0,0.761861729982404,0.0,0.5333032109876827,True
architecture rnn,0,0.761810790635429,0.0,0.5332675534448003,True
aco algorithms,0,0.7618086725752637,0.0,0.5332660708026846,True
engelbrecht computational,0,0.7617849503014127,0.0,0.5332494652109888,True
mathematical modelling,0,0.7616963094834958,0.0,0.533187416638447,True
suitable example,0,0.761534701492885,0.0,0.5330742910450195,True
operations instruction,0,0.7614827031158274,0.0,0.5330378921810792,True
sentiment analysis,0,0.7613435465629687,0.0,0.532940482594078,True
clustering constraints,0,0.7613371923824729,0.0,0.532936034667731,True
clustering accuracy,0,0.7611316346434326,0.0,0.5327921442504028,True
foreign network,0,0.7610432056315323,0.0,0.5327302439420726,True
data security,0,0.7607827901342112,0.0,0.5325479530939479,True
web services,0,0.7606856770756333,0.0,0.5324799739529432,True
iterative activity,0,0.7606230883977493,0.0,0.5324361618784245,True
method,0,0.76059926022089,0.0,0.532419482154623,True
systems programmer,0,0.760565583064262,0.0,0.5323959081449834,True
fuzzy composition,0,0.7605592288837661,0.0,0.5323914602186363,False
morphology clustering,0,0.7604493015611883,0.0,0.5323145110928318,False
evaluation measures,0,0.7604135063443951,0.0,0.5322894544410766,False
classification rough,0,0.7603839594050894,0.0,0.5322687715835626,False
decision boundary,0,0.7603485878003292,0.0,0.5322440114602304,False
service oriented,0,0.7603289957438004,0.0,0.5322302970206603,False
semantics nlp,0,0.7601805197262145,0.0,0.5321263638083501,False
cloud based,0,0.7600360680229424,0.0,0.5320252476160596,False
explain examples,0,0.7599673369705792,0.0,0.5319771358794054,False
xml students,0,0.7599091962190423,0.0,0.5319364373533295,False
model performance,0,0.7598923576407284,0.0,0.5319246503485098,False
gradient descent,0,0.75964581543749,0.0,0.531752070806243,False
learning graphql,0,0.7595310165765319,0.0,0.5316717116035723,False
project shall,0,0.7594783827814248,0.0,0.5316348679469973,False
analysing transactional,0,0.7594761588182511,0.0,0.5316333111727758,False
clusters discrete,0,0.7593776690205658,0.0,0.531564368314396,False
equivalence programs,0,0.7593755509604004,0.0,0.5315628856722803,False
core network,0,0.7593454745060535,0.0,0.5315418321542374,False
functions clustering,0,0.7593260942555412,0.0,0.5315282659788788,False
ant systems,0,0.7592133075517402,0.0,0.5314493152862181,False
swarm intelligent,0,0.7590611249288649,0.0,0.5313427874502054,False
data transfer,0,0.758752947174817,0.0,0.5311270630223719,False
genetic algorithm,0,0.7586745789487017,0.0,0.5310722052640912,False
forward neural,0,0.7585552262583882,0.0,0.5309886583808717,False
measuring similarity,0,0.7585522609741568,0.0,0.5309865826819098,False
classifier cifar,0,0.7585453772786197,0.0,0.5309817640950337,False
sat solvers,0,0.7584356617620582,0.0,0.5309049632334407,False
unstructured text,0,0.7584140575483724,0.0,0.5308898402838607,False
summarisation nlp,0,0.7584078092708849,0.0,0.5308854664896194,False
foundations statistical,0,0.7583293351417614,0.0,0.5308305345992329,False
security architecture,0,0.7582044754950181,0.0,0.5307431328465126,False
dimensionality reduction,0,0.7581132930049029,0.0,0.530679305103432,False
corresponding outputs,0,0.7579298689945898,0.0,0.5305509082962129,False
topics prentice,0,0.7579028637274826,0.0,0.5305320046092378,False
task seminar,0,0.7578541483436811,0.0,0.5304979038405767,False
code motion,0,0.7577947367560451,0.0,0.5304563157292316,False
backtracking level,0,0.7577933600169376,0.0,0.5304553520118563,False
dictionary learning,0,0.7577845700672518,0.0,0.5304491990470762,False
simd computers,0,0.7577538581948552,0.0,0.5304277007363986,False
soap architecture,0,0.757666276407021,0.0,0.5303663934849147,False
analysis dynamic,0,0.7575367570279142,0.0,0.53027572991954,False
accuracy estimation,0,0.7575171649713854,0.0,0.5302620154799698,False
advanced compiler,0,0.757474062447022,0.0,0.5302318437129153,False
mining social,0,0.7573685830507911,0.0,0.5301580081355538,False
biological databases,0,0.7573111836203121,0.0,0.5301178285342184,False
precision recall,0,0.7568957261188928,0.0,0.5298270082832249,False
enterprise cloud,0,0.756889371938397,0.0,0.5298225603568779,False
conceptual level,0,0.7568470107350914,0.0,0.529792907514564,False
networking applications,0,0.7565280308742005,0.0,0.5295696216119403,False
suppose corpus,0,0.7564774092362504,0.0,0.5295341864653752,False
requirement elicitation,0,0.756465654002333,0.0,0.529525957801633,False
performance hardware,0,0.7563679055257054,0.0,0.5294575338679938,False
illustrate feature,0,0.7562876310454414,0.0,0.529401341731809,False
uml diagrams,0,0.7562177350599872,0.0,0.529352414541991,False
private networks,0,0.7560788962161533,0.0,0.5292552273513073,False
process model,0,0.7560745541928144,0.0,0.5292521879349701,False
project management,0,0.7560524204640873,0.0,0.5292366943248611,False
ensemble methods,0,0.7559887727561206,0.0,0.5291921409292845,False
fuzzy sets,0,0.7559407986933772,0.0,0.529158559085364,False
bayes algorithm,0,0.7559272431083194,0.0,0.5291490701758236,False
vector semantics,0,0.7559041562525178,0.0,0.5291329093767625,False
applications real,0,0.7558234581602207,0.0,0.5290764207121544,False
loop optimization,0,0.755650624450734,0.0,0.5289554371155138,False
lstm google,0,0.7556421522100729,0.0,0.528949506547051,False
sequence alignment,0,0.7556289143340399,0.0,0.5289402400338279,False
design principles,0,0.7556204420933789,0.0,0.5289343094653651,False
idea group,0,0.7555563707733791,0.0,0.5288894595413653,False
commerce application,0,0.7554526917282888,0.0,0.5288168842098021,False
bioinformatics tools,0,0.7554337350898095,0.0,0.5288036145628666,False
distributed shared,0,0.7552259533875958,0.0,0.528658167371317,False
efficiently routing,0,0.7550810780722907,0.0,0.5285567546506035,False
distributed storage,0,0.7549392739442253,0.0,0.5284574917609577,False
analyse requirements,0,0.7548899231423744,0.0,0.528422946199662,False
code sequence,0,0.7548097545651186,0.0,0.528366828195583,False
nlp syntax,0,0.7546986623094497,0.0,0.5282890636166148,False
morphological rich,0,0.7546470875444252,0.0,0.5282529612810977,False
helps learners,0,0.7545754971108388,0.0,0.5282028479775871,False
swarm optimization,0,0.7545351480646902,0.0,0.5281746036452831,False
tables given,0,0.7545022122291202,0.0,0.528151548560384,False
syllabus,0,0.7544938458914674,0.0,0.5281456921240272,False
storage allocation,0,0.7544408943873354,0.0,0.5281086260711347,False
memory addressing,0,0.7542123556955019,0.0,0.5279486489868513,False
em algorithm,0,0.7541615222515352,0.0,0.5279130655760746,False
clusters identified,0,0.754080400547205,0.0,0.5278562803830434,False
metric methods,0,0.7540605966846597,0.0,0.5278424176792618,False
boosting ensemble,0,0.7540120931068749,0.0,0.5278084651748124,False
features service,0,0.7539955722375856,0.0,0.5277969005663099,False
data cleaning,0,0.7539765096960982,0.0,0.5277835567872687,False
classify new,0,0.7539445269876025,0.0,0.5277611688913217,False
memory references,0,0.7539213342287927,0.0,0.5277449339601549,False
backward selection,0,0.7539121206670737,0.0,0.5277384844669516,False
sentiment classification,0,0.7538929522225779,0.0,0.5277250665558045,False
optimization ra,0,0.7538096065550742,0.0,0.5276667245885519,False
architecture soap,0,0.7537097400182814,0.0,0.5275968180127969,False
maximization em,0,0.7535596754555715,0.0,0.5274917728189,False
data center,0,0.7535368004057864,0.0,0.5274757602840504,False
optimising sentiment,0,0.7535235625297534,0.0,0.5274664937708273,False
students institute,0,0.7534123643710763,0.0,0.5273886550597534,False
solutions cognitive,0,0.7533044492056554,0.0,0.5273131144439588,False
distributed cloud,0,0.7531890149266477,0.0,0.5272323104486534,False
alignment sequences,0,0.7531194366502184,0.0,0.5271836056551529,False
project organisation,0,0.7531075755132928,0.0,0.5271753028593049,False
clustering criterion,0,0.7530901015169292,0.0,0.5271630710618505,False
accessing retrieval,0,0.7530831119183838,0.0,0.5271581783428686,False
examination pattern,0,0.7530282541601031,0.0,0.5271197779120721,False
students answer,0,0.7529932002643678,0.0,0.5270952401850574,False
project organization,0,0.7529808096124009,0.0,0.5270865667286806,False
designing compiler,0,0.7529789033582521,0.0,0.5270852323507764,False
formulation propositional,0,0.7529705370205994,0.0,0.5270793759144196,False
categorical data,0,0.7529568755325332,0.0,0.5270698128727732,False
database searches,0,0.7529290230413599,0.0,0.5270503161289519,False
testing knowledge,0,0.7528934396305832,0.0,0.5270254077414082,False
challenges clouds,0,0.7528570089957404,0.0,0.5269999062970182,False
suppose given,0,0.7528001390803026,0.0,0.5269600973562119,False
values,0,0.7527298194828155,0.0,0.5269108736379708,False
features recurrent,0,0.752711180553361,0.0,0.5268978263873526,False
scoring matrices,0,0.7524666505072797,0.0,0.5267266553550958,False
layer implemented,0,0.7524166642873791,0.0,0.5266916650011653,False
cluster centers,0,0.7524099923978584,0.0,0.5266869946785009,False
networks pearson,0,0.752380551361561,0.0,0.5266663859530927,False
model xsd,0,0.7523030303595118,0.0,0.5266121212516582,False
course provides,0,0.7522435128688676,0.0,0.5265704590082073,False
discovered knowledge,0,0.752207188137033,0.0,0.526545031695923,False
tf idf,0,0.752146188004273,0.0,0.5265023316029911,False
soap based,0,0.7521435404290664,0.0,0.5265004783003464,False
garbage collector,0,0.7521347504793805,0.0,0.5264943253355663,False
sequence diagram,0,0.7520269412169679,0.0,0.5264188588518774,False
test paper,0,0.7519646702481086,0.0,0.526375269173676,False
overlay networks,0,0.7518534720894315,0.0,0.526297430462602,False
memory consistency,0,0.7518510363202415,0.0,0.526295725424169,False
cache optimization,0,0.7518311265546879,0.0,0.5262817885882815,False
mapping feature,0,0.7517883417393493,0.0,0.5262518392175445,False
arithmetic cognitive,0,0.7517224700682091,0.0,0.5262057290477463,False
shall normalized,0,0.7516845567912507,0.0,0.5261791897538755,False
cache optimizations,0,0.7516410306548542,0.0,0.5261487214583979,False
classes relationships,0,0.7516055531470858,0.0,0.52612388720296,False
particle swarm,0,0.7515856433815322,0.0,0.5261099503670725,False
requirements elicitation,0,0.751530997429268,0.0,0.5260716982004876,False
skills comprehension,0,0.7515073810584252,0.0,0.5260551667408976,False
virtualization,0,0.7514749747378964,0.0,0.5260324823165274,False
mining frequent,0,0.7514570771294998,0.0,0.5260199539906498,False
fuzzy set,0,0.7513132608442774,0.0,0.5259192825909942,False
project communication,0,0.7512882677343271,0.0,0.5259017874140289,False
concepts convolutional,0,0.7512796895906577,0.0,0.5258957827134604,False
security models,0,0.7512787364635833,0.0,0.5258951155245083,False
representation object,0,0.7511931668329062,0.0,0.5258352167830342,False
performance summarizer,0,0.7510299702971714,0.0,0.52572097920802,False
tasks activities,0,0.7510166265181302,0.0,0.5257116385626911,False
alignment scoring,0,0.7508822356006433,0.0,0.5256175649204502,False
logic ackermann,0,0.7508748223900649,0.0,0.5256123756730454,False
understanding students,0,0.750794230200776,0.0,0.5255559611405431,False
sdn,0,0.7507876642142636,0.0,0.5255513649499844,False
practical engineering,0,0.7507029418076525,0.0,0.5254920592653567,False
core courses,0,0.7506373878455371,0.0,0.525446171491876,False
learner develop,0,0.7506246794845455,0.0,0.5254372756391817,False
practical applications,0,0.7505147521619675,0.0,0.5253603265133772,False
heap allocation,0,0.7505128459078187,0.0,0.5253589921354731,False
hierarchical topical,0,0.7504574586344968,0.0,0.5253202210441477,False
mobile nodes,0,0.7503687119135716,0.0,0.5252580983395001,False
virtualization structure,0,0.750346789990861,0.0,0.5252427529936027,False
register allocation,0,0.7503277274493735,0.0,0.5252294092145614,False
topic modelling,0,0.7503031579514562,0.0,0.5252122105660193,False
cable networks,0,0.7502904495904645,0.0,0.5252033147133252,False
resource provisioning,0,0.7502762585873572,0.0,0.52519338101115,False
association rules,0,0.7502334737720185,0.0,0.5251634316404129,False
summarization extraction,0,0.7502248956283493,0.0,0.5251574269398445,False
multimedia simd,0,0.7501708850941347,0.0,0.5251196195658943,False
characteristic roc,0,0.7501340308472588,0.0,0.5250938215930812,False
